Gender,Age Group,Current Position,Primary Role in Environmental Surveillance for Polio Eradication ,Years of Experience ,Location/State of Primary Assignment,Are you aware of environmental surveillance (ES) activities in your area? ,"How familiar are you with the processes of ES (sewage sampling, lab testing)?",What is environmental surveillance about?,Have you received formal training on ES? ,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?,Has ES in your area contributed to early detection of poliovirus cases? ,ES has played a role in polio eradication in Nigeria,Challenges encountered in ES (check all that apply),Frequency of environmental sample collection,Do you work with both AFP and ES systems? ,Which system has faster virus detection? 
Male,31-'40,Laboratory Scientist,6,5-'10 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Inadequate training;Sample collection difficulties;Delay in lab analysis,Bi-weekly,Yes,Both
Female,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training;Lack of community awareness,Monthly,Yes,Both
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Anambra,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Strongly disagree,Lack of community awareness,Rarely,No,Both
Female,18-'30,Health Facility Worker,Data management and reporting,Less than 5 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Inadequate training;Lack of community awareness,Monthly,No,Both
Male,41-'50,Environmental Health Officer,Supervision/Coordination,11-'15 years,Anambra,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Agree,Poor funding;Inadequate training,Rarely,No,Not sure
Male,31-'40,Environmental Health Officer,Data management and reporting,11-'15 years,Anambra,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Bi-weekly,No,Both
Male,18-'30,Laboratory Scientist,6,Less than 5 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training,Bi-weekly,Yes,AFP
Female,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Inadequate training;Logistical/transport issues,Weekly,No,Both
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,No,Strongly agree,Logistical/transport issues;Lack of community awareness,Bi-weekly,No,Both
Male,18-'30,Laboratory Scientist,Sample collection,Less than 5 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Disagree,Logistical/transport issues;Lack of community awareness,Rarely,No,Not sure
Female,31-'40,Environmental Health Officer,Supervision/Coordination,5-'10 years,Oyo,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Neutral,Inadequate training;Lack of community awareness,Bi-weekly,No,AFP
Female,51+,Health Facility Worker,Data management and reporting,Over 15 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,No,Neutral,Poor funding;Inadequate training,Rarely,No,Both
Female,31-'40,Laboratory Scientist,6,5-'10 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Yes,Disagree,Inadequate training;Lack of community awareness,Rarely,No,Both
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Oyo,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training,Monthly,Yes,AFP
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Lack of community awareness,Rarely,No,Both
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Inadequate training,Monthly,No,Both
Female,51+,Health Facility Worker,Data management and reporting,Over 15 years,Oyo,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,No,Agree,Logistical/transport issues,Monthly,Yes,AFP
Male,51+,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Oyo ,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training,Monthly,No,AFP
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Oyo,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Agree,Poor funding;Inadequate training,Rarely,Yes,AFP
Male,31-'40,Laboratory Scientist,6,5-'10 years,Osun,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,Yes,Disagree,Poor funding;Inadequate training,Monthly,No,AFP
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Osun,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training,Bi-weekly,Yes,Both
Male,18-'30,Health Facility Worker,Data management and reporting,Less than 5 years,Osun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Lack of community awareness,Bi-weekly,Yes,AFP
Female,31-'40,Laboratory Scientist,6,5-'10 years,Osun,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Neutral,Logistical/transport issues,Rarely,No,Both
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Osun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,No,Disagree,Inadequate training;Lack of community awareness,Monthly,No,Both
Female,41-'50,Surveillance Officer,Supervision/Coordination,11-'15 years,Osun,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding,Weekly,No,Both
Male,31-'40,Health Facility Worker,Data management and reporting,Less than 5 years,Osun,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Inadequate training,Weekly,Yes,Both
Male,31-'40,Laboratory Scientist,6,5-'10 years,Osun,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Disagree,Inadequate training,Bi-weekly,No,Both
Female,41-'50,Laboratory Scientist,6,5-'10 years,Osun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Yes,Agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Weekly,Yes,AFP
Male,51+,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Osun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training,Weekly,Yes,ES
Male,41-'50,Surveillance Officer,Data management and reporting,Less than 5 years,Osun,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Inadequate training;Lack of community awareness,Bi-weekly,No,Both
Female,18-'30,Surveillance Officer,Sample collection,Less than 5 years,Osun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Disagree,Inadequate training,Rarely,No,AFP
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Delta,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training,Weekly,No,ES
Female,31-'40,Laboratory Scientist,6,5-'10 years,Delta,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Neutral,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Monthly,Yes,AFP
Female,51+,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Delta,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Bi-weekly,No,AFP
Female,41-'50,Environmental Health Officer,Supervision/Coordination,11-'15 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Inadequate training;Logistical/transport issues,Monthly,No,Both
Male,18-'30,Surveillance Officer,Sample collection,Less than 5 years,Oyo,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Agree,Poor funding;Inadequate training,Weekly,Yes,ES
Female,31-'40,Laboratory Scientist,6,5-'10 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Neutral,Sample collection difficulties;Delay in lab analysis,Monthly,No,Both
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Delta,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,No,Neutral,Inadequate training,Weekly,No,Both
Female,41-'50,Health Facility Worker,Data management and reporting,5-'10 years,Osun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Agree,Poor funding,Weekly,Yes,Both
Female,51+,Health Facility Worker,Data management and reporting,Over 15 years,Osun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Inadequate training;Lack of community awareness,Rarely,Yes,Not sure
Female,31-'40,Laboratory Scientist,6,5-'10 years,Osun,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding;Inadequate training,Weekly,Yes,Both
Male,51+,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Osun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Yes,Agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Rarely,Yes,Both
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Abia,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Poor funding;Logistical/transport issues;Lack of community awareness,Monthly,No,Both
Female,31-'40,Laboratory Scientist,Routine Inspection of Premises,Less than 5 years,Kogi,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Lack of community awareness,Monthly,No,Not sure
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Abia,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Agree,Lack of community awareness,Bi-weekly,No,Both
Male,31-'40,Laboratory Scientist,6,5-'10 years,Abia,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Poor funding;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Monthly,No,Both
Female,41-'50,Surveillance Officer,Data management and reporting,5-'10 years,Borno ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both
Male,41-'50,Surveillance Officer,Routine Inspection of Premises,5-'10 years,Kano,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Logistical/transport issues;Lack of community awareness,Monthly,No,Both
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Yobe ,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly disagree,Inadequate training,Monthly,Yes,AFP
Male,31-'40,Environmental Health Officer,Sample collection,Over 15 years,Yobe ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Logistical/transport issues,Monthly,Yes,Both
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Yobe,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Agree,Lack of community awareness,Weekly,Yes,Both
Male,51+,Health planing and research officer ,Supervision/Coordination,Over 15 years,Yobe,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas,Monthly,Yes,Both
Female,18-'30,Environmental Health Officer,Supervision/Coordination,5-'10 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,No,AFP
Male,51+,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,No,Not sure
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Ogun ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Insecurity in sampling areas,Weekly,Yes,Both
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Ogun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,No,Not sure
Female,41-'50,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Weekly,No,Both
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Kwara ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding,Monthly,No,ES
Male,18-'30,Environmental Health Officer,Data management and reporting,Less than 5 years,Bauchi,Yes,Not familiar,Studying genetic diseases to develop personalized medical treatments,No,Don't know,Not sure,Neutral,Inadequate training;Lack of community awareness,Not applicable,No,Not sure
Male,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Not sure,Agree,Inadequate training,Weekly,Yes,Both
Male,51+,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Poor funding;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Monthly,Yes,Both
Male,18-'30,Environmental Health Officer,Supervision/Coordination,Less than 5 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Strongly agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Weekly,Yes,AFP
Male,18-'30,Health Facility Worker,Supervision/Coordination,5-'10 years,Yobe ,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,No,Equally effective,Yes,Agree,Insecurity in sampling areas,,Yes,Both
Male,31-'40,Health Facility Worker,Supervision/Coordination,5-'10 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues,Not applicable,No,AFP
Male,51+,Environmental Health Officer,Sample collection,Over 15 years,Kaduna ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both
Female,41-'50,Scientific officer,Keep a clean environment ,5-'10 years,Ogun,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Not applicable,No,Not sure
Male,31-'40,Environmental Health Officer,Supervision/Coordination,5-'10 years,Yobe,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Less effective,No,Agree,Inadequate training,Monthly,Yes,AFP
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Kwara,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,No,Both
Female,51+,Surveillance Officer,Sample collection,11-'15 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Weekly,Yes,AFP
Male,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Yobe,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Lack of community awareness,Weekly,Yes,ES
Female,31-'40,Environmental Health Officer,Sample collection,11-'15 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,Yes,ES
Female,31-'40,Nurse,Routine Inspection of Premises,Less than 5 years,Kwara ,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Not sure,Agree,Poor funding;Inadequate training;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Not applicable,No,Not sure
Female,51+,Health Facility Worker,A Nurse officer ,5-'10 years,Kwara ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Delay in lab analysis,Bi-weekly,Yes,AFP
Male,31-'40,Environmental Health Officer,Sample collection,5-'10 years,Zamfara,Yes,Somewhat familiar,Studying genetic diseases to develop personalized medical treatments,Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Delay in lab analysis;Insecurity in sampling areas;,Rarely,No,ES
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Kebbi,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Neutral,Poor funding;Inadequate training,Not applicable,No,Not sure
Male,18-'30,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Yobe,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,Yes,Agree,Lack of community awareness,Bi-weekly,No,Both
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Osun,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Neutral,Poor funding;Inadequate training;Sample collection difficulties;Logistical/transport issues,Not applicable,No,Not sure
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Bauchi ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Not sure,Neutral,Poor funding;Inadequate training;Insecurity in sampling areas;Logistical/transport issues,Rarely,No,Not sure
Male,41-'50,Health Facility Worker,Supervision/Coordination,11-'15 years,Ogun,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Rarely,Yes,AFP
Male,18-'30,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Strongly agree,Poor funding,Weekly,Yes,ES
Female,31-'40,Environmental Health Officer,Sample collection,Less than 5 years,Oyo,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Neutral,Insecurity in sampling areas,Rarely,No,Not sure
Female,18-'30,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Osun ,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis,Weekly,No,ES
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Oyo,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Sample collection difficulties,Monthly,No,AFP
Female,41-'50,Environmental Health Officer,Data management and reporting,5-'10 years,Oyo,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,No,Strongly agree,Sample collection difficulties,Monthly,No,AFP
Male,18-'30,Nurse,Sample collection,Less than 5 years,Kwara,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Not sure,Disagree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness;,Weekly,No,Not sure
Male,18-'30,Environmental Health Officer,6,5-'10 years,Kebbi,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Bi-weekly,Yes,Both
Female,31-'40,Surveillance Officer,Supervision/Coordination,11-'15 years,Kebbi,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,Both
Female,31-'40,M L T,Sample collection,5-'10 years,Yobe,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Neutral,Poor funding;Logistical/transport issues;Lack of community awareness,Bi-weekly,No,Not sure
Male,41-'50,Health Facility Worker,Data management and reporting,Less than 5 years,Gombe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both
Female,31-'40,Surveillance Officer,Data management and reporting,11-'15 years,Sokoto,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,Both
Female,18-'30,Surveillance Officer,6,11-'15 years,Zamfara ,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Delay in lab analysis;Logistical/transport issues,Weekly,Yes,Both
Male,31-'40,Health Facility Worker,Supervision/Coordination,5-'10 years,Kano,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Bi-weekly,Yes,Both
Female,31-'40,Laboratory Scientist,Sample collection,Less than 5 years,Sokoto ,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Bi-weekly,Yes,AFP
